priority,status,score,entity_id,entity_type,canonical_name,description_words,connected_statements,required_statements,evidenced_statements,gaps
P4,catalog,0,95414431-a227-7c9f-b45b-3d64f8e5dbd9,brand,Bristol,38,0,3,0,editorial_promotion_required
P4,catalog,0,f22587f3-39e8-73ee-a0da-cb37165ce30f,brand,Bucci,29,0,3,0,editorial_promotion_required
P4,catalog,0,82091a18-6aec-7d57-9241-1f68321f9fa4,brand,Buddy,37,0,3,0,editorial_promotion_required
P4,catalog,0,69432b6a-dc21-71ce-9563-0a57780adbce,brand,Buddy Electric,39,0,3,0,editorial_promotion_required
P4,catalog,0,ad344e68-b765-77d2-ba1f-db5a74874ef8,brand,Bufori,41,0,3,0,editorial_promotion_required
P3,complete,100,01a01028-5456-74cd-8e02-ff30dece0237,brand,Bugatti,94,5,3,5,
P2,substantial,76.7,ab6e603d-e65c-7ce3-8501-2be111f36e20,brand,Buick,39,1,3,1,connected_statements<3
P4,catalog,0,2228501a-49a9-71ca-ace4-c8a3788fdd35,brand,Burton,7,0,3,0,editorial_promotion_required
P4,catalog,0,a2b681a8-3c0b-746d-978b-442d896d9255,brand,CBT,29,0,3,0,editorial_promotion_required
P2,substantial,88.3,01a01030-3319-7f50-a974-c3181fd95e9c,brand,Cadillac,46,2,3,2,connected_statements<3
P4,catalog,0,14b7410a-23ed-7cbe-be6e-4a43e8c6a8fd,brand,Canoo,37,0,3,0,editorial_promotion_required
P4,catalog,0,a466d4de-e967-70a8-88f9-b36fb1802159,brand,Caresto,39,0,3,0,editorial_promotion_required
P4,catalog,0,3c91a71a-c0cb-74df-b4cb-96ce6ba55b0a,brand,Carver,39,0,3,0,editorial_promotion_required
P4,catalog,0,ca5f9b29-3af0-74a3-8fe6-672c0e3f9b5d,brand,Caterham,38,0,3,0,editorial_promotion_required
P4,catalog,0,467eb086-499d-7c61-a8b2-db5f862f000f,brand,Chamonix,38,0,3,0,editorial_promotion_required
P4,catalog,0,2a2fb4b6-e2b3-75f6-a058-1a3dffd3a81f,brand,Changan,39,0,3,0,editorial_promotion_required
P4,catalog,0,81321c60-08ec-73cb-97c8-cffc426b4285,brand,Checker,37,0,3,0,editorial_promotion_required
P4,catalog,0,db29f510-3226-7f43-9558-35cd0049211c,brand,Chenard-Walcker,38,0,3,0,editorial_promotion_required
P4,catalog,0,e99d00e2-f550-7fa4-bb70-786f87a9954a,brand,Chery,39,0,3,0,editorial_promotion_required
P2,substantial,76.7,04964a08-0f19-7d5d-9170-66fc7de2c8f1,brand,Chevrolet,39,1,3,1,connected_statements<3
P4,catalog,0,7317aea1-0a9c-7bc0-ad55-af252d50e553,brand,Chinkara,41,0,3,0,editorial_promotion_required
P4,catalog,0,4a4d3296-5b86-73c9-af61-e3850ed9579e,brand,Chrysler,37,1,3,1,editorial_promotion_required
P4,catalog,0,eefb410d-ec1c-7493-b14b-d57d417ffd18,brand,Cisitalia,40,0,3,0,editorial_promotion_required
P2,substantial,76.7,01a010d9-28c2-7096-b44e-46cb4d0c6ad7,brand,Citroën,46,1,3,1,connected_statements<3
P4,catalog,0,6a9fd106-4dde-77cd-aa97-a63298517851,brand,Cizeta,40,0,3,0,editorial_promotion_required
P4,catalog,0,cda95ce3-b714-71ce-9604-d99063fc8bde,brand,Clément-Bayard,23,0,3,0,editorial_promotion_required
P4,catalog,0,d0537ec7-fb5e-7ac6-ac99-7fb30302135c,brand,Comarth,39,0,3,0,editorial_promotion_required
P4,catalog,0,e0d80250-ac3e-7af6-b64a-8a1655907428,brand,Continental,37,0,3,0,editorial_promotion_required
P4,catalog,0,449dec8c-2c6d-7d78-8e7f-fc0af2fa09fe,brand,Cony,28,0,3,0,editorial_promotion_required
P4,catalog,0,a97bc884-184e-7603-94b0-3b409f4ca258,brand,Cord,37,0,3,0,editorial_promotion_required
P4,catalog,0,91d1f974-9f5a-7558-a670-292b645b04a9,brand,Corre La Licorne,38,0,3,0,editorial_promotion_required
P4,catalog,0,645aed31-df67-76f9-bc2c-d8ebbd644a8b,brand,Crespi,38,0,3,0,editorial_promotion_required
P4,catalog,0,eeb81324-3491-7ebb-81eb-5d45dce59950,brand,Crosley,37,0,3,0,editorial_promotion_required
P4,catalog,0,d7aac2e7-d986-7003-bafa-958d7b88f9ea,brand,Cupra,39,0,3,0,editorial_promotion_required
P4,catalog,0,028a329e-24bc-757f-96f7-9359aa0fe9d7,brand,Czinger,37,0,3,0,editorial_promotion_required
P4,catalog,0,d31acfb1-1b0d-71aa-b5c0-0d3c7b4576a5,brand,DAF,39,0,3,0,editorial_promotion_required
P4,catalog,0,f08ccedb-40a5-7eab-9072-adc80f3f20ca,brand,DC Avanti,41,0,3,0,editorial_promotion_required
P4,catalog,0,a43a244f-7176-7535-9a2c-06025e0daa81,brand,DKW,38,0,3,0,editorial_promotion_required
